+40057.5,+100745,minutes,hour_of_day,day_of_week,winding_temp_C,load_pct,thermal_margin_C,fault_label,fault_type
34813.9,100736,0.0,0.016666666666666666,0,35.0,0.0,105.0,0,normal
38921.3,100758,1.0,0.03333333333333333,0,35.0,0.0,105.0,0,normal
38712.4,100748,2.0,0.05,0,35.0,0.0,105.0,0,normal
32636.3,100728,3.0,0.06666666666666667,0,35.0,0.0,105.0,0,normal
32724.4,100744,4.0,0.08333333333333333,0,35.0,0.0,105.0,0,normal
35127.4,100752,5.0,0.1,0,35.0,0.0,105.0,0,normal
36433.5,100755,6.0,0.11666666666666667,0,35.0,0.0,105.0,0,normal
37104.4,100746,7.0,0.13333333333333333,0,35.0,0.0,105.0,0,normal
33970.4,100740,8.0,0.15,0,35.0,0.0,105.0,0,normal
33072.7,100736,9.0,0.16666666666666666,0,35.0,0.0,105.0,0,normal
34430.6,100721,10.0,0.18333333333333332,0,35.0,0.0,105.0,0,normal
37037.6,100746,11.0,0.2,0,35.0,0.0,105.0,0,normal
31654.0,100715,12.0,0.21666666666666667,0,35.0,0.0,105.0,0,normal
34796.8,100719,13.0,0.23333333333333334,0,35.0,0.0,105.0,0,normal
31912.7,100723,14.0,0.25,0,35.0,0.0,105.0,0,normal
31052.7,100710,15.0,0.26666666666666666,0,35.0,0.0,105.0,0,normal
37433.2,100743,16.0,0.2833333333333333,0,35.0,0.0,105.0,0,normal
31061.9,100707,17.0,0.3,0,35.0,0.0,105.0,0,normal
30930.6,100715,18.0,0.31666666666666665,0,35.0,0.0,105.0,0,normal
40959.5,100762,19.0,0.3333333333333333,0,35.0,0.0,105.0,0,normal
32114.5,100732,20.0,0.35,0,35.0,0.0,105.0,0,normal
37562.5,100752,21.0,0.36666666666666664,0,35.0,0.0,105.0,0,normal
36799.8,100725,22.0,0.38333333333333336,0,35.0,0.0,105.0,0,normal
33022.6,100721,23.0,0.4,0,35.0,0.0,105.0,0,normal
34322.2,100734,24.0,0.4166666666666667,0,35.0,0.0,105.0,0,normal
29776.8,100718,25.0,0.43333333333333335,0,35.0,0.0,105.0,0,normal
30374.6,100723,26.0,0.45,0,35.0,0.0,105.0,0,normal
32178.7,100717,27.0,0.4666666666666667,0,35.0,0.0,105.0,0,normal
34868.0,100724,28.0,0.48333333333333334,0,35.0,0.0,105.0,0,normal
32121.0,100709,29.0,0.5,0,35.0,0.0,105.0,0,normal
39683.1,100756,30.0,0.5166666666666667,0,35.0,0.0,105.0,0,normal
35191.3,100729,31.0,0.5333333333333333,0,35.0,0.0,105.0,0,normal
30223.4,100706,32.0,0.55,0,35.0,0.0,105.0,0,normal
37004.6,100745,33.0,0.5666666666666667,0,35.0,0.0,105.0,0,normal
33680.8,100722,34.0,0.5833333333333334,0,35.0,0.0,105.0,0,normal
35037.0,100735,35.0,0.6,0,35.0,0.0,105.0,0,normal
30180.7,100705,36.0,0.6166666666666667,0,35.0,0.0,105.0,0,normal
34695.6,100719,37.0,0.6333333333333333,0,35.0,0.0,105.0,0,normal
31316.0,100738,38.0,0.65,0,35.0,0.0,105.0,0,normal
33922.4,100741,39.0,0.6666666666666666,0,35.0,0.0,105.0,0,normal
33913.9,100724,40.0,0.6833333333333333,0,35.0,0.0,105.0,0,normal
29597.7,100730,41.0,0.7,0,35.0,0.0,105.0,0,normal
35204.6,100735,42.0,0.7166666666666667,0,35.0,0.0,105.0,0,normal
31572.1,100707,43.0,0.7333333333333333,0,35.0,0.0,105.0,0,normal
34748.4,100737,44.0,0.75,0,35.0,0.0,105.0,0,normal
29524.1,100718,45.0,0.7666666666666667,0,35.0,0.0,105.0,0,normal
37578.4,100741,46.0,0.7833333333333333,0,35.0,0.0,105.0,0,normal
37451.7,100726,47.0,0.8,0,35.0,0.0,105.0,0,normal
30547.9,100709,48.0,0.8166666666666667,0,35.0,0.0,105.0,0,normal
33950.5,100717,49.0,0.8333333333333334,0,35.0,0.0,105.0,0,normal
31409.4,100718,50.0,0.85,0,35.0,0.0,105.0,0,normal
30387.4,100710,51.0,0.8666666666666667,0,35.0,0.0,105.0,0,normal
36704.8,100735,52.0,0.8833333333333333,0,35.0,0.0,105.0,0,normal
35909.0,100748,53.0,0.9,0,35.0,0.0,105.0,0,normal
36054.5,100743,54.0,0.9166666666666666,0,35.0,0.0,105.0,0,normal
30790.3,100699,55.0,0.9333333333333333,0,35.0,0.0,105.0,0,normal
34337.4,100739,56.0,0.95,0,35.0,0.0,105.0,0,normal
33793.7,100732,57.0,0.9666666666666667,0,35.0,0.0,105.0,0,normal
31912.6,100730,58.0,0.9833333333333333,0,35.0,0.0,105.0,0,normal
34989.7,100721,59.0,1.0,0,35.0,0.0,105.0,0,normal
33256.5,100724,60.0,1.0166666666666666,0,35.0,0.0,105.0,0,normal
